time, datetime_utc, mode, layer, level, winner_team, winner_faction, winner_subfaction, winner_tickets, loser_team, loser_faction, loser_subfaction, loser_tickets
"Sat Oct 01 2022 06:28:30 GMT-0400 (Eastern Daylight Time)","2022-10-01 10:28:30", "Invasion", "Black Coast Invasion v3", "Black Coast", "2", "Irregular Militia Forces", "The Peoples' Front Militia", "800", "1", "Canadian Army", "CAF 3rd Battalion RCR Air Assault Platoon", "200"
"Sat Oct 01 2022 10:17:00 GMT-0400 (Eastern Daylight Time)","2022-10-01 14:17:00", "Grounds", "Pacific Proving Grounds v1", "Pacific Proving Grounds", "0", "Civilians", "Local Civilians that have some limited access to vehicles", "99999", "1", "United States Marine Corps", "USMC 31st Marine Expeditionary Unit", "99919"
"Sat Oct 01 2022 12:32:52 GMT-0400 (Eastern Daylight Time)","2022-10-01 16:32:52", "Seed", "Sumari Bala Seed v1", "Sumari Bala", "1", "United States Army", "US Brigade Combat Team", "71", "2", "Russian Ground Forces", "Russian Battalion Tactical Group", "55"
"Sat Oct 01 2022 13:01:57 GMT-0400 (Eastern Daylight Time)","2022-10-01 17:01:57", "AAS", "Narva AAS v4", "Narva", "2", "Russian Ground Forces", "RUS 49th Combined Arms Army", "333", "1", "United States Marine Corps", "USMC 3rd Battalion, 2nd Marines", "0"
"Sat Oct 01 2022 13:47:39 GMT-0400 (Eastern Daylight Time)","2022-10-01 17:47:39", "RAAS", "Kokan RAAS v1", "Kokan", "2", "Middle Eastern Alliance", "MEA Combined Arms Battalion", "46", "1", "United States Army", "US Brigade Combat Team", "0"
"Sat Oct 01 2022 14:19:17 GMT-0400 (Eastern Daylight Time)","2022-10-01 18:19:17", "RAAS", "Black Coast RAAS v2", "Black Coast", "2", "Irregular Militia Forces", "The Peoples' Front Militia Mechanized Platoon", "252", "1", "United States Marine Corps", "USMC 31st Marine Expeditionary Unit", "0"
"Sat Oct 01 2022 14:46:43 GMT-0400 (Eastern Daylight Time)","2022-10-01 18:46:43", "RAAS", "Belaya RAAS v3", "Belaya Pass", "1", "British Army", "British Armed Forces", "378", "2", "Irregular Militia Forces", "Local Militia Group", "0"
"Sat Oct 01 2022 15:29:59 GMT-0400 (Eastern Daylight Time)","2022-10-01 19:29:59", "AAS", "Mutaha AAS v3", "Mutaha", "1", "Australian Defence Force", "ADF 5th Battalion, Royal Australian Regiment", "109", "2", "Russian Ground Forces", "RUS 205th Detached Mechanized Cossacks Brigade", "0"
"Sat Oct 01 2022 16:12:55 GMT-0400 (Eastern Daylight Time)","2022-10-01 20:12:55", "RAAS", "Manic-5 RAAS v4", "Manic-5", "1", "Canadian Army", "CAF 3rd Battalion RCR Air Assault Platoon", "139", "2", "Russian Ground Forces", "RUS 205th Motorized Rifle Platoon", "0"
"Sat Oct 01 2022 16:53:42 GMT-0400 (Eastern Daylight Time)","2022-10-01 20:53:42", "AAS", "Kokan AAS v3", "Kokan", "1", "Australian Defence Force", "ADF 1st Battalion, Royal Australian Regiment", "49", "2", "Russian Ground Forces", "RUS 205th Detached Mechanized Cossacks Brigade", "0"
"Sat Oct 01 2022 17:33:49 GMT-0400 (Eastern Daylight Time)","2022-10-01 21:33:49", "RAAS", "Gorodok RAAS v4", "Gorodok", "2", "Russian Ground Forces", "Russian battalion tactical group", "169", "1", "United States Army", "US Brigade Combat Team", "0"
"Sat Oct 01 2022 18:26:04 GMT-0400 (Eastern Daylight Time)","2022-10-01 22:26:04", "RAAS", "Goose Bay RAAS v3", "Goose Bay", "2", "Russian Ground Forces", "RUS 49th Combined Arms Army", "64", "1", "United States Marine Corps", "USMC 31st Marine Expeditionary Unit", "0"
"Sat Oct 01 2022 18:50:48 GMT-0400 (Eastern Daylight Time)","2022-10-01 22:50:48", "TC", "Narva TC v1", "Narva", "1", "United States Army", "US Brigade Combat Team", "323", "2", "Russian Ground Forces", "Russian battalion tactical group", "120"
"Sat Oct 01 2022 19:29:56 GMT-0400 (Eastern Daylight Time)","2022-10-01 23:29:56", "AAS", "Chora AAS v5", "Chora", "2", "Russian Ground Forces", "RUS 205th Detached Mechanized Cossacks Brigade", "139", "1", "Canadian Army", "CAF 3rd Battallion PPCLI Infantry Platoon", "0"
"Sat Oct 01 2022 19:59:49 GMT-0400 (Eastern Daylight Time)","2022-10-01 23:59:49", "AAS", "Sumari Bala AAS v2", "Sumari Bala", "1", "United States Army", "US Brigade Combat Team", "161", "2", "Russian Ground Forces", "Russian Battalion Tactical Group", "0"
"Sat Oct 01 2022 20:49:06 GMT-0400 (Eastern Daylight Time)","2022-10-02 00:49:06", "RAAS", "Yehorivka RAAS v12", "Yehorivka", "2", "Russian Ground Forces", "RUS 6th Separate Czestochowa Tank Brigade ", "228", "1", "Canadian Army", "CAF LdSH Regiment Heavy Armor Troop", "0"
"Sat Oct 01 2022 21:33:38 GMT-0400 (Eastern Daylight Time)","2022-10-02 01:33:38", "AAS", "Kohat Toi AAS v3", "Kohat Toi", "1", "Australian Defence Force", "ADF 1st Battalion, Royal Australian Regiment", "268", "2", "Russian Ground Forces", "RUS 205th Detached Mechanized Cossacks Brigade", "0"
"Sat Oct 01 2022 22:11:54 GMT-0400 (Eastern Daylight Time)","2022-10-02 02:11:54", "RAAS", "Narva RAAS v5", "Narva", "2", "Russian Ground Forces", "RUS 49th Combined Arms Army", "293", "1", "United States Marine Corps", "USMC 3rd Light Armored Recon Battalion", "0"
"Sat Oct 01 2022 22:45:20 GMT-0400 (Eastern Daylight Time)","2022-10-02 02:45:20", "Invasion", "Fallujah Invasion v1", "Fallujah", "2", "Insurgent Forces", "Insurgent Homeland Freedom Fighters", "637", "1", "United States Marine Corps", "USMC 1st Battalion, 1st Marines", "0"
"Sat Oct 01 2022 23:24:20 GMT-0400 (Eastern Daylight Time)","2022-10-02 03:24:20", "RAAS", "Gorodok RAAS v6", "Gorodok", "1", "United States Marine Corps", "USMC 1st Battalion, 1st Marines", "308", "2", "Russian Ground Forces", "RUS 49th Combined Arms Army", "0"
"Sun Oct 02 2022 00:03:07 GMT-0400 (Eastern Daylight Time)","2022-10-02 04:03:07", "AAS", "Mutaha AAS v4", "Mutaha", "2", "Russian Ground Forces", "RUS 205th Detached Mechanized Cossacks Brigade", "180", "1", "Canadian Army", "CAF Royal 22e Régiment Mechanized Platoon", "0"
"Sun Oct 02 2022 00:46:56 GMT-0400 (Eastern Daylight Time)","2022-10-02 04:46:56", "AAS", "Skorpo AAS v1", "Skorpo", "1", "United States Army", "US Brigade Combat Team", "18", "2", "Russian Ground Forces", "Russian battalion tactical group", "0"
"Sun Oct 02 2022 01:21:09 GMT-0400 (Eastern Daylight Time)","2022-10-02 05:21:09", "AAS", "Lashkar AAS v2", "Lashkar Valley", "1", "United States Army", "US Brigade Combat Team", "213", "2", "Middle Eastern Alliance", "MEA Combined Arms Battalion", "0"
"Sun Oct 02 2022 02:04:11 GMT-0400 (Eastern Daylight Time)","2022-10-02 06:04:11", "AAS", "Narva AAS v2", "Narva", "1", "British Army", "British Armed Forces", "75", "2", "Russian Ground Forces", "Russian battalion tactical group", "0"
"Sun Oct 02 2022 02:45:54 GMT-0400 (Eastern Daylight Time)","2022-10-02 06:45:54", "RAAS", "Black Coast RAAS v1", "Black Coast", "1", "United States Marine Corps", "USMC 4th Assault Amphibian Battalion", "192", "2", "Russian Ground Forces", "RUS 205th Detached Mechanized Cossacks Brigade", "0"
"Sun Oct 02 2022 03:23:09 GMT-0400 (Eastern Daylight Time)","2022-10-02 07:23:09", "RAAS", "Mutaha RAAS v6", "Mutaha", "1", "United States Marine Corps", "USMC 3rd Battalion, 2nd Marines", "142", "2", "Middle Eastern Alliance", "MEA 1st Battalion, Legion of Babylon", "0"
"Sun Oct 02 2022 04:14:13 GMT-0400 (Eastern Daylight Time)","2022-10-02 08:14:13", "RAAS", "Yehorivka RAAS v1", "Yehorivka", "1", "United States Marine Corps", "USMC 1st Battalion, 5th Marines", "231", "2", "Russian Ground Forces", "RUS 49th Combined Arms Army", "0"
"Sun Oct 02 2022 04:51:51 GMT-0400 (Eastern Daylight Time)","2022-10-02 08:51:51", "RAAS", "Logar RAAS v2", "Logar Valley", "2", "Middle Eastern Alliance", "MEA 1st Battalion, Legion of Babylon", "404", "1", "Canadian Army", "CAF 3rd Battallion PPCLI Infantry Platoon", "0"
"Sun Oct 02 2022 05:19:21 GMT-0400 (Eastern Daylight Time)","2022-10-02 09:19:21", "RAAS", "Sumari Bala RAAS v1", "Sumari Bala", "1", "United States Army", "US Brigade Combat Team", "274", "2", "Middle Eastern Alliance", "MEA Combined Arms Battalion", "0"
"Sun Oct 02 2022 06:05:49 GMT-0400 (Eastern Daylight Time)","2022-10-02 10:05:49", "AAS", "Chora AAS v3", "Chora", "2", "Russian Ground Forces", "Russian battalion tactical group", "116", "1", "United States Army", "US Brigade Combat Team", "0"
"Sun Oct 02 2022 06:49:04 GMT-0400 (Eastern Daylight Time)","2022-10-02 10:49:04", "RAAS", "Gorodok RAAS v3", "Gorodok", "1", "United States Army", "US Brigade Combat Team", "95", "2", "Russian Ground Forces", "Russian battalion tactical group", "0"
"Sun Oct 02 2022 07:38:11 GMT-0400 (Eastern Daylight Time)","2022-10-02 11:38:11", "RAAS", "Mutaha RAAS v1", "Mutaha", "1", "United States Army", "US Brigade Combat Team", "88", "2", "Middle Eastern Alliance", "MEA Combined Arms Battalion", "0"
"Sun Oct 02 2022 08:35:58 GMT-0400 (Eastern Daylight Time)","2022-10-02 12:35:58", "RAAS", "Black Coast RAAS v1", "Black Coast", "2", "Russian Ground Forces", "RUS 205th Detached Mechanized Cossacks Brigade", "112", "1", "United States Marine Corps", "USMC 4th Assault Amphibian Battalion", "0"
"Sun Oct 02 2022 09:20:27 GMT-0400 (Eastern Daylight Time)","2022-10-02 13:20:27", "RAAS", "Kokan RAAS v1", "Kokan", "2", "Middle Eastern Alliance", "MEA Combined Arms Battalion", "94", "1", "United States Army", "US Brigade Combat Team", "0"
"Sun Oct 02 2022 09:59:45 GMT-0400 (Eastern Daylight Time)","2022-10-02 13:59:45", "RAAS", "Narva RAAS v1", "Narva", "1", "United States Army", "US Brigade Combat Team", "137", "2", "Russian Ground Forces", "Russian battalion tactical group", "0"
"Sun Oct 02 2022 10:39:03 GMT-0400 (Eastern Daylight Time)","2022-10-02 14:39:03", "RAAS", "Sumari Bala RAAS v2", "Sumari Bala", "2", "Middle Eastern Alliance", "MEA Combined Arms Battalion", "36", "1", "British Army", "British Armed Forces", "0"
"Sun Oct 02 2022 11:42:12 GMT-0400 (Eastern Daylight Time)","2022-10-02 15:42:12", "RAAS", "Goose Bay RAAS v1", "Goose Bay", "1", "Canadian Army", "CAF 1 Canadian Mechanized Brigade Group", "23", "2", "Russian Ground Forces", "RUS 49th Combined Arms Army", "0"
"Sun Oct 02 2022 12:32:50 GMT-0400 (Eastern Daylight Time)","2022-10-02 16:32:50", "RAAS", "Belaya RAAS v1", "Belaya Pass", "2", "Russian Ground Forces", "Russian battalion tactical group", "119", "1", "United States Army", "US Brigade Combat Team", "0"
"Sun Oct 02 2022 13:13:24 GMT-0400 (Eastern Daylight Time)","2022-10-02 17:13:24", "RAAS", "Kokan RAAS v4", "Kokan", "2", "Middle Eastern Alliance", "MEA Vizir Hussein 2nd Support Battalion", "55", "1", "Canadian Army", "CAF 3rd Battallion PPCLI Infantry Platoon", "0"
"Sun Oct 02 2022 13:39:54 GMT-0400 (Eastern Daylight Time)","2022-10-02 17:39:54", "TC", "Kamdesh TC v4", "Kamdesh Highlands", "1", "Canadian Army", "CAF Royal 22e Régiment Mechanized Platoon", "366", "2", "Insurgent Forces", "Local Insurgent Cell", "0"
"Sun Oct 02 2022 14:15:28 GMT-0400 (Eastern Daylight Time)","2022-10-02 18:15:28", "RAAS", "Fallujah RAAS v1", "Fallujah", "2", "Middle Eastern Alliance", "MEA 3rd King Qadesh Mechanized Infantry Brigade", "101", "1", "United States Marine Corps", "USMC 31st Marine Expeditionary Unit", "0"
"Sun Oct 02 2022 15:09:18 GMT-0400 (Eastern Daylight Time)","2022-10-02 19:09:18", "RAAS", "Black Coast RAAS v1", "Black Coast", "2", "Russian Ground Forces", "RUS 205th Detached Mechanized Cossacks Brigade", "14", "1", "United States Marine Corps", "USMC 4th Assault Amphibian Battalion", "0"
"Sun Oct 02 2022 15:49:59 GMT-0400 (Eastern Daylight Time)","2022-10-02 19:49:59", "RAAS", "Narva RAAS v4", "Narva", "1", "Canadian Army", "CAF 1 Canadian Mechanized Brigade Group", "151", "2", "Russian Ground Forces", "RUS 49th Combined Arms Army", "0"
"Sun Oct 02 2022 16:27:38 GMT-0400 (Eastern Daylight Time)","2022-10-02 20:27:38", "RAAS", "Fallujah RAAS v4", "Fallujah", "1", "Australian Defence Force", "ADF 3rd Brigade", "67", "2", "Middle Eastern Alliance", "MEA Combined Arms Battalion", "0"
"Sun Oct 02 2022 17:12:41 GMT-0400 (Eastern Daylight Time)","2022-10-02 21:12:41", "AAS", "Mutaha AAS v3", "Mutaha", "2", "Russian Ground Forces", "RUS 205th Detached Mechanized Cossacks Brigade", "72", "1", "Australian Defence Force", "ADF 5th Battalion, Royal Australian Regiment", "0"
"Sun Oct 02 2022 17:51:08 GMT-0400 (Eastern Daylight Time)","2022-10-02 21:51:08", "AAS", "Belaya AAS v3", "Belaya Pass", "2", "Russian Ground Forces", "RUS 49th Combined Arms Army", "122", "1", "Canadian Army", "CAF 1 Canadian Mechanized Brigade Group", "0"
